clock: 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1410 1410 1410 1410 1410 
     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
     58392 kB       241ms      32.7%    4600.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     68320 kB       209ms      14.9%    4771.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     79936 kB       213ms      15.5%    4713.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     93524 kB       214ms      16.5%    4762.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    109424 kB       214ms      17.8%    4821.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    128024 kB       304ms      63.9%    4593.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    149788 kB       229ms      21.5%    4604.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    175256 kB       287ms      66.0%    4591.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    205048 kB       223ms      18.9%    4843.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    239904 kB       277ms      48.5%    4624.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    280692 kB       221ms      19.3%    4801.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
